"Source:"	"/home/pi/experiments/HF_Preselector/kicad_project_HF_PRE_2022/prj004.sch"
"Date:"	"Mon 08 Aug 2022 08:30:06 CEST"
"Tool:"	"Eeschema 5.1.9+dfsg1-1+b1"
"Component Count:"	"56"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C2"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C3"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C4"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C5"	"680"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C6"	"1500"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C7"	"1500"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C8"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C9"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C10"	"820"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C11"	"390"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C12"	"820"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C13"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C14"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C15"	"390"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C16"	"180"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C17"	"390"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C18"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C19"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
"C20"	"180"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C21"	"82"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C22"	"180"	"Device:C"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor"	""
"C23"	"100n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm"	"Unpolarized capacitor"	""
